"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"SWITCH-SPDT-SMD-A";"SWITCH-SPST-SMD-A";"S1, S2";"SPDT Switch";"";
"1";"0.49"OLEDFOLDED";"0.49"OLEDFOLDED";"0.49"-FPC-0.7-14-FOLDED";"U$1";"";"";
"2";"100K";"R-0603";"R0603";"R2, R9";"";"";
"2";"100nF";"C-0603";"C0603";"C7, C10";"";"";
"5";"1uF";"C-0603";"C0603";"C3, C4, C5, C6, C9";"";"";
"1";"2.2uF";"C-0603";"C0603";"C1";"";"";
"6";"2K";"R-0603";"R0603";"R4, R5, R6, R7, R8, R10";"";"";
"1";"390K";"R-0603";"R0603";"R3";"";"";
"1";"4.7uF";"C-0603";"C0603";"C2";"";"";
"1";"AUDIO-CONNECTOR-6P-SMD-3440030P1";"AUDIO-CONNECTOR-6P-SMD-3440030P1";"6P-SMD-3.5";"J1";"";"";
"1";"BATTERY_1236_C";"BATTERY_1236_C";"BATTERY_1236_C";"BATTERY_1";"SOC004";"";
"4";"BUTTON-4P-3100010P1";"BUTTON-4P-3100010P1";"4P-SMD-6.0X6.0X5.0H";"K1, K2, K3, K4";"";"";
"3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"U$2, U$3, U$4";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"10";"M01SMD-4.5X1.5";"M01SMD-4.5X1.5";"PAD-1.5X4.5";"AUDIOGND, AUDIOSIG, PTA6_MISO1, PTA6_MISO2, PTA6_MISO3, PTA6_MISO4, PTA6_MISO5, PTB1_RXTX, PTB2_TXRX, PTB2_TXRX2";"Header 1";"";
"1";"MKL02Z32VFK4";"MKL02Z32VFK4";"QFN50P400X400X100-25N";"U1";"IC, MCU, 32BIT, CORTEX M0+, 48MHZ, QFN-24";"";
"2";"SOLDERJUMPERNC";"SOLDERJUMPERNC";"SJ_2S";"SJ1, STEREO";"Solder Jumper";"";
"1";"TINYGAMEARTPOS";"TINYGAMEARTPOS";"TINYGAMEART";"U$5";"";"";
"3";"YELLOW";"LED";"LED0603";"D1, D2, D3";"LED";"";
